label|p_value|source_id|source_type|target_id|target_type
expressed_in|3.8271e-05|ENSG00000256927|gene|UBERON_0001150|UBERON
expressed_in|4.79443e-05|ENSG00000171476|gene|UBERON_0006631|UBERON
expressed_in|3.32463e-05|ENSG00000171476|gene|UBERON_0006920|UBERON
expressed_in|7.41921e-07|ENSG00000164023|gene|EFO_0002009|UBERON
expressed_in|5.78179e-10|ENSG00000090316|gene|UBERON_0000945|UBERON
expressed_in|9.03483e-10|ENSG00000090316|gene|UBERON_0001496|UBERON
expressed_in|1.63978e-06|ENSG00000090316|gene|UBERON_0004550|UBERON
expressed_in|2.36959e-06|ENSG00000090316|gene|UBERON_0001157|UBERON
expressed_in|2.0225e-05|ENSG00000090316|gene|UBERON_0006631|UBERON
expressed_in|3.00968e-16|ENSG00000090316|gene|UBERON_0008367|UBERON
expressed_in|5.63646e-09|ENSG00000090316|gene|UBERON_0004648|UBERON
expressed_in|1.62077e-13|ENSG00000090316|gene|UBERON_0008952|UBERON
expressed_in|5.10247e-12|ENSG00000090316|gene|UBERON_0010414|UBERON
expressed_in|6.10937e-12|ENSG00000090316|gene|UBERON_0001416|UBERON
expressed_in|3.93952e-24|ENSG00000090316|gene|UBERON_0001323|UBERON
expressed_in|2.52924e-25|ENSG00000090316|gene|UBERON_0002046|UBERON
expressed_in|9.46793e-15|ENSG00000090316|gene|UBERON_0002190|UBERON
expressed_in|1.14374e-06|ENSG00000090316|gene|UBERON_0001511|UBERON
expressed_in|6.08195e-10|ENSG00000090316|gene|UBERON_0007610|UBERON
expressed_in|1.41326e-09|ENSG00000090316|gene|UBERON_0013756|UBERON
expressed_in|1.05113e-06|ENSG00000090316|gene|UBERON_0002037|UBERON
expressed_in|2.91403e-06|ENSG00000090316|gene|UBERON_0006330|UBERON
expressed_in|4.79853e-07|ENSG00000090316|gene|UBERON_0000007|UBERON
expressed_in|9.44338e-08|ENSG00000090316|gene|UBERON_0001211|UBERON
expressed_in|4.43099e-13|ENSG00000090316|gene|UBERON_0002367|UBERON
expressed_in|3.46482e-13|ENSG00000090316|gene|UBERON_0002106|UBERON
expressed_in|3.66749e-07|ENSG00000090316|gene|UBERON_0002369|UBERON
expressed_in|9.07124e-16|ENSG00000090316|gene|UBERON_0001150|UBERON
expressed_in|1.08863e-05|ENSG00000090316|gene|UBERON_0001159|UBERON
expressed_in|4.79051e-17|ENSG00000090316|gene|UBERON_0000473|UBERON
expressed_in|1.7607e-07|ENSG00000159692|gene|UBERON_0001323|UBERON
expressed_in|6.58924e-07|ENSG00000159692|gene|UBERON_0002046|UBERON
expressed_in|2.34981e-05|ENSG00000159692|gene|UBERON_0001511|UBERON
expressed_in|3.39959e-08|ENSG00000159692|gene|UBERON_0000473|UBERON
expressed_in|4.59051e-10|ENSG00000163945|gene|UBERON_0001496|UBERON
expressed_in|3.92733e-07|ENSG00000163945|gene|UBERON_0004550|UBERON
expressed_in|4.37401e-07|ENSG00000163945|gene|UBERON_0006566|UBERON
expressed_in|2.62482e-07|ENSG00000163945|gene|UBERON_0006631|UBERON
expressed_in|3.43053e-06|ENSG00000163945|gene|UBERON_0008367|UBERON
expressed_in|4.01025e-10|ENSG00000163945|gene|UBERON_0004648|UBERON
expressed_in|2.75373e-06|ENSG00000163945|gene|UBERON_0008952|UBERON
expressed_in|5.80689e-08|ENSG00000163945|gene|UBERON_0010414|UBERON
expressed_in|2.47831e-06|ENSG00000163945|gene|UBERON_0001323|UBERON
expressed_in|2.03957e-10|ENSG00000163945|gene|UBERON_0002190|UBERON
expressed_in|3.88162e-12|ENSG00000163945|gene|UBERON_0007610|UBERON
expressed_in|5.75257e-06|ENSG00000163945|gene|UBERON_0013756|UBERON
expressed_in|1.91004e-09|ENSG00000163945|gene|UBERON_0011907|UBERON
expressed_in|2.56811e-07|ENSG00000163945|gene|UBERON_0001159|UBERON
expressed_in|1.01169e-21|ENSG00000179979|gene|UBERON_0000945|UBERON
