accessions|canonical_accession|id|is_canonical|is_isoform|isoform_name|protein_name
"[""B3KUQ0"", ""Q9H6Y9""]"||Q9NU02|True|||ANKE1
"[""D3DW19"", ""Q5JY73""]"||Q9Y2F9|True|||BTBD3
|Q9Y2F9|Q9Y2F9-1||True|1|BTBD3
|Q9Y2F9|Q9Y2F9-2||True|2|BTBD3
"[""Q9BQE7""]"||P55212|True|||CASP6
|P55212|P55212-1||True|Alpha|CASP6
|P55212|P55212-2||True|Beta|CASP6
||P06307|True|||CCKN
"[""B4DDT8"", ""F8WAG9"", ""O96026"", ""Q6UW71"", ""Q96DX2""]"||Q8N2M8|True|||CLASR
|Q8N2M8|Q8N2M8-1||True|1|CLASR
|Q8N2M8|Q8N2M8-3||True|2|CLASR
|Q8N2M8|Q8N2M8-4||True|3|CLASR
"[""Q5T7A5"", ""Q63HK0"", ""Q8NCJ6"", ""Q9HBQ1"", ""Q9NQ67""]"||Q8NI60|True|||COQ8A
|Q8NI60|Q8NI60-1||True|1|COQ8A
|Q8NI60|Q8NI60-2||True|2|COQ8A
|Q8NI60|Q8NI60-3||True|3|COQ8A
|Q8NI60|Q8NI60-4||True|4|COQ8A
"[""A0AV43"", ""B4DYR1"", ""E9PCF9"", ""O14902"", ""O15122"", ""Q15816""]"||P78504|True|||JAG1
|P78504|P78504-1||True|1|JAG1
|P78504|P78504-2||True|2|JAG1
"[""A8K4X5"", ""D3DTF0"", ""Q16641"", ""Q6Q3G8"", ""Q96J30"", ""Q99534"", ""Q9UD93""]"||P13473|True|||LAMP2
|P13473|P13473-1||True|LAMP-2A|LAMP2
|P13473|P13473-2||True|LAMP-2B|LAMP2
|P13473|P13473-3||True|LAMP-2C|LAMP2
"[""A8K7B0"", ""D3DW18""]"||Q9NPJ1|True|||MKKS
"[""A8K5T6"", ""D3DW14"", ""Q5W115"", ""Q8TB93"", ""Q9BX09"", ""Q9ULF6""]"||Q9P286|True|||PAK5
"[""B2RDQ2"", ""P30037"", ""P32079"", ""Q15205"", ""Q6LDE5""]"||P07237|True|||PDIA1
"[""O43856"", ""O75404"", ""Q8TBQ1"", ""Q9H782"", ""Q9NWU9"", ""Q9P0Q2"", ""Q9Y5A8""]"||O75400|True|||PR40A
|O75400|O75400-1||True|1|PR40A
|O75400|O75400-2||True|2|PR40A
|O75400|O75400-3||True|3|PR40A
|O75400|O75400-5||True|5|PR40A
"[""B4E182"", ""Q5H8U5"", ""Q9H3Z0"", ""Q9NR47"", ""Q9NYA9""]"||Q9Y371|True|||SHLB1
|Q9Y371|Q9Y371-1||True|1|SHLB1
|Q9Y371|Q9Y371-2||True|2|SHLB1
|Q9Y371|Q9Y371-3||True|3|SHLB1
"[""B2RAU4"", ""D3DW16"", ""D3DW17"", ""P13795"", ""P36974"", ""P70557"", ""P70558"", ""Q53EM2"", ""Q5U0B5"", ""Q8IXK3"", ""Q96FM2"", ""Q9BR45""]"||P60880|True|||SNP25
|P60880|P60880-1||True|1|SNP25
|P60880|P13795-1||True|1|SNP25
|P60880|P60880-2||True|2|SNP25
|P60880|P13795-2||True|2|SNP25
